"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"West Humber-Clairville",1,4295,5035,14130,4475,5360,575,37040,32840,8.7,92300,18405,15780,2630,10595,54.4,14.3,33295,14900,160,0,770,450,55,75,8345,1960,30,80,520,305,70,2020,"West Humber-Clairville (1)",98784.8101265823
"Mount Olive-Silverstone-Jamestown",2,5690,4955,12840,3690,4170,450,33920,30480,15.6,78200,14360,11830,2535,11300,46.1,17.7,31345,12615,105,0,4100,250,30,20,6110,1640,10,65,910,245,50,2020,"Mount Olive-Silverstone-Jamestown (2)",98784.8101265823
"Thistletown-Beaumond Heights",3,1495,1315,3970,1320,1740,245,39300,34700,11.8,88800,4990,4165,830,3360,49.9,16.6,9850,4360,40,0,675,275,35,35,1655,1170,0,10,220,95,0,2020,"Thistletown-Beaumond Heights (3)",98784.8101265823
"Rexdale-Kipling",4,1575,1230,4185,1530,1850,230,37040,32960,13.5,79200,5305,4560,740,3495,51.8,13.9,10380,5540,70,0,410,465,55,45,915,1095,10,0,140,120,90,2020,"Rexdale-Kipling (4)",98784.8101265823
"Elms-Old Rexdale",5,1610,1320,3680,1360,1390,185,40200,35300,12.4,83600,4425,3600,820,3320,46.5,18.5,9355,4785,75,0,720,295,85,15,360,1250,0,95,160,105,0,2020,"Elms-Old Rexdale (5)",98784.8101265823
"Kingsview Village-The Westway",6,3915,2850,8600,2935,3705,555,44800,38360,14.7,85600,10525,8625,1900,7560,47.7,18.1,22005,10050,340,0,2210,990,55,70,1935,2465,20,130,255,410,135,2020,"Kingsview Village-The Westway (6)",98784.8101265823
"Willowridge-Martingrove-Richview",7,3500,2505,8255,3110,5085,1080,52100,44480,9.5,95400,11040,9460,1575,7905,49.9,14.3,22450,11340,235,0,610,1455,165,155,1215,3090,15,300,345,515,60,2020,"Willowridge-Martingrove-Richview (7)",98784.8101265823
"Humber Heights-Westmount",8,1370,1105,3565,1565,2385,425,51200,42680,10.2,101400,4995,4350,645,3635,50.4,12.9,10010,4620,60,0,275,1245,105,80,290,1985,0,125,50,70,25,2020,"Humber Heights-Westmount (8)",98784.8101265823
"Edenbridge-Humber Valley",9,2070,1665,5605,2380,3470,515,65400,52500,8.2,138200,8105,7130,980,5015,54.3,12.1,15190,8455,195,0,235,1895,165,130,170,2125,20,110,60,325,30,2020,"Edenbridge-Humber Valley (9)",98784.8101265823
"Princess-Rosethorn",10,1750,1445,3725,1940,2310,325,87200,67600,5.6,164200,5880,5215,670,3545,55.4,11.4,11175,7040,100,0,105,955,100,80,290,995,15,175,0,310,30,2020,"Princess-Rosethorn (10)",98784.8101265823
"Eringate-Centennial-West Deane",11,2640,2160,6635,3025,3985,660,59350,49040,5.6,105600,9770,8510,1255,6040,53.8,12.8,18450,9775,100,0,335,2855,170,100,640,1550,20,320,25,560,75,2020,"Eringate-Centennial-West Deane (11)",98784.8101265823
"Markland Wood",12,1315,1105,3435,1745,2765,510,61350,51080,6,115500,5215,4580,635,3835,50.6,12.2,10370,5765,90,0,80,2180,180,85,160,540,15,90,0,245,35,2020,"Markland Wood (12)",98784.8101265823
"Etobicoke West Mall",13,1780,1285,5195,1690,1920,245,50400,43320,11,83900,6495,5575,920,3590,55.3,14.2,11860,5555,105,0,305,1560,50,35,645,870,20,205,25,320,220,2020,"Etobicoke West Mall (13)",98784.8101265823
