"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"West Humber-Clairville",1,5060,5445,13845,3990,4980,615,31771,28066,15.8,426156,17845,16140,1705,9995,58,9.6,32995,14825,185,5,700,435,135,115,8935,2095,20,75,625,525,90,3870,295,1310,1850,685,2265,2015,"West Humber-Clairville (1)",81495
"Mount Olive-Silverstone-Jamestown",2,7090,5240,13615,3475,3560,300,26548,24122,27.9,360648,14765,12975,1785,10975,50.4,12.1,32825,12860,180,0,4655,255,70,45,7370,1605,15,65,1110,275,55,1655,160,1040,755,90,6165,2015,"Mount Olive-Silverstone-Jamestown (2)",81495
"Thistletown-Beaumond Heights",3,1730,1410,4160,1195,1880,350,32815,28842,17.8,140050,5060,4540,525,3335,54.1,10.4,10120,4405,85,5,680,245,95,45,1775,1355,5,25,190,110,25,1575,300,50,375,295,680,2015,"Thistletown-Beaumond Heights (3)",81495
"Rexdale-Kipling",4,1640,1355,4300,1520,1730,300,34418,30201,18.6,134305,5480,4880,600,3240,55.9,10.9,10360,5635,120,0,345,535,80,60,775,1395,10,15,145,110,35,1775,30,430,480,670,460,2015,"Rexdale-Kipling (4)",81495
"Elms-Old Rexdale",5,1805,1440,3700,1255,1275,145,32012,28355,23.2,123119,4635,4175,465,3005,54.6,10,9450,4930,45,0,660,340,70,25,625,1225,10,35,200,120,10,990,70,515,200,65,1375,2015,"Elms-Old Rexdale (5)",81495
"Kingsview Village-The Westway",6,4240,3020,8635,2550,3585,575,36674,31447,24.9,272950,10265,9245,1020,7475,52.1,9.9,21990,9675,265,5,2220,1120,140,110,2395,2635,15,180,280,320,100,2175,130,315,170,220,4760,2015,"Kingsview Village-The Westway (6)",81495
"Willowridge-Martingrove-Richview",7,3555,2625,8140,2905,4905,885,44177,36713,15,412302,10870,9940,920,7715,53.5,8.5,22150,11470,265,0,580,1560,195,200,1390,3070,20,295,345,410,80,3600,530,345,255,35,3740,2015,"Willowridge-Martingrove-Richview (7)",81495
"Humber Heights-Westmount",8,1450,1140,3790,1510,3045,950,45615,38150,14.6,238655,5115,4745,380,3540,54.8,7.4,10365,4710,65,5,335,1675,105,55,205,2105,0,105,90,70,20,1680,60,65,180,190,1975,2015,"Humber Heights-Westmount (8)",81495
"Edenbridge-Humber Valley",9,2120,1805,5940,2385,3290,665,101551,72156,10.5,441052,8420,7915,510,4650,60.5,6.1,15195,8240,185,0,220,2275,200,125,220,2130,30,180,40,275,55,2555,85,130,40,1035,2405,2015,"Edenbridge-Humber Valley (9)",81495
"Princess-Rosethorn",10,1770,1580,3825,1855,2025,325,99055,71025,7.2,538736,5875,5520,355,3395,59.5,6,11045,7005,115,0,65,1180,165,80,245,900,35,215,10,310,15,3295,5,40,55,15,440,2015,"Princess-Rosethorn (10)",81495
"Eringate-Centennial-West Deane",11,2635,2405,6910,2855,3765,565,47002,39203,9.7,352269,10105,9355,750,5795,58.9,7.4,18525,9670,175,0,390,3260,220,145,545,1685,25,360,30,615,35,3925,360,605,125,75,1785,2015,"Eringate-Centennial-West Deane (11)",81495
"Markland Wood",12,1340,1165,3600,1735,2705,535,62378,48586,8.3,195412,5445,5115,335,3665,56.1,6.2,10460,5880,125,0,100,2275,140,80,110,600,15,155,5,275,30,1780,5,285,40,170,2025,2015,"Markland Wood (12)",81495
"Etobicoke West Mall",13,1695,1460,5025,1600,2060,505,38255,32942,18.3,132460,6420,5915,505,3355,60.5,7.9,11470,5355,85,0,360,1905,100,65,625,845,20,205,40,285,150,965,95,230,60,55,3160,2015,"Etobicoke West Mall (13)",81495
"Islington-City Centre West",14,5820,4695,20640,5400,7405,1480,52787,42550,15.8,854623,25665,23805,1870,11725,63.6,7.3,43420,21280,605,0,1420,6140,365,265,1765,3735,125,1480,180,1510,210,5175,125,650,250,750,12345,2015,"Islington-City Centre West (14)",81495
"Kingsway South",15,1580,1100,3245,1345,1995,325,144642,97836,4.5,900624,4790,4440,360,2805,58.6,7.5,9275,7055,160,0,35,665,185,40,65,450,15,60,0,120,15,2310,70,50,30,335,790,2015,"Kingsway South (15)",81495
"Stonegate-Queensway",16,4060,2495,10660,3660,4165,750,64140,49002,11.6,516575,14060,13125,935,6790,63,6.7,24950,14565,415,0,155,4355,300,130,330,1950,45,135,25,680,85,5790,100,440,245,2765,1035,2015,"Stonegate-Queensway (16)",81495
"Mimico (includes Humber Bay Shores)",17,3505,3010,17695,4620,5160,565,54438,43971,18.2,583422,21160,19865,1305,8685,66.6,6.2,33380,18940,660,0,480,3730,395,135,1030,2800,100,310,80,1700,130,2255,285,915,355,3145,10810,2015,"Mimico (includes Humber Bay Shores) (17)",81495
"New Toronto",18,1610,1390,5215,1580,1525,140,44101,37209,24.8,188819,6460,5895,565,3220,60.9,8.7,11310,7270,195,0,220,1150,100,45,270,545,15,80,105,390,30,1555,215,260,200,1965,1180,2015,"New Toronto (18)",81495
"Long Branch",19,1335,1130,4705,1520,1405,140,47384,39000,17.6,137480,6160,5725,440,2565,65.6,7.1,10085,6540,145,0,95,1310,135,45,165,545,10,30,25,230,10,1480,80,90,230,1795,1135,2015,"Long Branch (19)",81495
"Alderwood",20,1760,1235,5220,1825,2015,320,47709,39159,8.2,168602,6825,6405,415,3440,62.4,6.1,12035,7360,105,10,65,1675,100,55,215,1155,15,30,10,340,20,2840,545,85,330,560,255,2015,"Alderwood (20)",81495
"Humber Summit",21,2155,1720,4855,1315,2380,260,30731,27334,19.7,202677,5755,5200,555,4505,50.7,9.6,12415,4580,35,0,500,90,50,35,2700,2730,0,15,135,110,45,525,1790,85,95,685,710,2015,"Humber Summit (21)",81495
"Humbermede",22,2945,2225,6445,1760,2160,260,29528,26403,22.7,184459,7640,6865,780,4950,54.6,10.2,15540,6365,65,0,445,200,40,20,2200,2900,0,75,320,260,60,575,1135,455,80,1210,1585,2015,"Humbermede (22)",81495
"Pelmo Park-Humberlea",23,1745,1370,4645,1390,1590,205,39003,33581,11.4,154568,5870,5520,355,3100,61.5,6,10720,5185,55,5,190,215,40,50,280,2705,0,30,145,225,15,1795,510,260,350,240,535,2015,"Pelmo Park-Humberlea (23)",81495
"Black Creek",24,4600,3290,8525,2425,2870,370,25989,23786,33,261560,9300,8115,1180,7655,47.8,12.7,21560,10355,125,5,1895,280,55,35,480,2260,10,20,815,790,135,680,660,1140,155,630,4065,2015,"Black Creek (24)",81495
"Glenfield-Jane Heights",25,5790,4520,11590,3605,5005,700,27984,25395,25.7,410012,13440,11895,1550,10985,48.7,11.5,30250,13575,175,0,845,265,45,75,750,6300,10,15,665,1215,80,415,3285,1350,330,1150,3405,2015,"Glenfield-Jane Heights (25)",81495
